Employee_ID,Date,Teams_Messages_Sent,Emails_Sent,Meetings_Attended,Work_Hours
EMP0048,2023-01-01,33,8,9,6.69
EMP0207,2023-01-02,21,29,2,5.42
EMP0112,2023-01-03,21,1,3,9.21
EMP0309,2023-01-04,14,13,6,7.78
EMP0142,2023-01-05,18,3,0,5.8
EMP0070,2023-01-06,16,9,8,4.22
EMP0215,2023-01-07,33,25,8,6.1
EMP0214,2023-01-08,12,24,6,9.23
EMP0269,2023-01-09,30,28,6,9.55
EMP0041,2023-01-10,26,3,2,4.61
EMP0464,2023-01-11,44,4,2,7.28
EMP0226,2023-01-12,41,2,3,7.24
EMP0358,2023-01-13,25,19,9,8.45
EMP0109,2023-01-14,21,2,0,7.29
EMP0252,2023-01-15,32,1,4,6.6
EMP0026,2023-01-16,26,16,8,7.55
EMP0174,2023-01-17,35,5,7,4.34
EMP0011,2023-01-18,13,14,2,7.68
EMP0081,2023-01-19,8,0,1,5.12
EMP0500,2023-01-20,37,27,9,8.4
EMP0342,2023-01-21,21,29,1,8.95
EMP0467,2023-01-22,22,9,6,9.58
EMP0338,2023-01-23,37,18,0,8.08
EMP0177,2023-01-24,39,17,3,4.84
EMP0442,2023-01-25,3,26,7,7.2
EMP0333,2023-01-26,15,20,2,5.83
EMP0380,2023-01-27,46,18,9,5.33
EMP0359,2023-01-28,13,27,4,5.11
EMP0094,2023-01-29,40,28,8,8.58
EMP0190,2023-01-30,44,15,8,9.14
EMP0292,2023-01-31,31,2,6,7.08
EMP0080,2023-02-01,18,1,4,7.08
EMP0472,2023-02-02,48,10,0,7.32
EMP0035,2023-02-03,18,7,4,9.99
EMP0202,2023-02-04,29,18,3,4.6
EMP0461,2023-02-05,23,4,9,4.16
EMP0207,2023-02-06,0,9,6,7.37
EMP0430,2023-02-07,30,25,2,6.25
EMP0358,2023-02-08,2,20,4,9.49
EMP0081,2023-02-09,28,7,6,5.17
EMP0267,2023-02-10,22,3,4,9.31
EMP0331,2023-02-11,10,18,6,8.88
EMP0366,2023-02-12,24,15,2,7.36
EMP0062,2023-02-13,23,15,0,8.93
EMP0014,2023-02-14,39,29,2,9.59
EMP0126,2023-02-15,28,27,6,4.75
EMP0477,2023-02-16,21,14,5,8.95
EMP0069,2023-02-17,25,29,9,5.92
EMP0217,2023-02-18,3,7,7,6.64
EMP0192,2023-02-19,42,4,3,4.5
EMP0432,2023-02-20,35,4,8,4.02
EMP0097,2023-02-21,17,14,9,8.56
EMP0112,2023-02-22,12,5,2,9.5
EMP0271,2023-02-23,37,8,6,6.76
EMP0491,2023-02-24,18,22,8,8.04
EMP0302,2023-02-25,0,17,9,9.1
EMP0108,2023-02-26,48,23,9,9.58
EMP0484,2023-02-27,38,20,9,7.87
EMP0134,2023-02-28,30,25,6,5.55
EMP0342,2023-03-01,43,4,0,9.98
EMP0082,2023-03-02,29,6,9,4.07
EMP0303,2023-03-03,4,15,8,8.37
EMP0132,2023-03-04,6,12,7,6.69
EMP0377,2023-03-05,16,29,4,6.3
EMP0127,2023-03-06,11,27,7,4.63
EMP0372,2023-03-07,25,17,7,8.56
EMP0468,2023-03-08,12,19,2,5.72
EMP0445,2023-03-09,11,5,3,7.06
EMP0489,2023-03-10,23,28,6,7.18
EMP0221,2023-03-11,48,1,2,4.42
EMP0142,2023-03-12,41,0,7,7.17
EMP0435,2023-03-13,47,16,2,4.61
EMP0122,2023-03-14,17,26,9,9.03
EMP0210,2023-03-15,5,0,2,7.13
EMP0151,2023-03-16,32,2,1,7.9
EMP0304,2023-03-17,9,13,0,6.35
