Employee_ID,Risk_Score,Should_Target,Primary_Concern,Outreach_Category,Issue_Count,Issues,Avg_Vibe_Score,Recent_Vibe_Trend,Low_Mood_Flag,Negative_Trend_Flag,Avg_Work_Hours,Max_Work_Hours,Overworked_Flag,Total_Leave_Days,Insufficient_Leave_Flag,Performance_Rating,Has_Improvement_Feedback,Performance_Concern_Flag,Reward_Points,Award_Count,Recognition_Concern_Flag,P_value,B_value,E_value,W_value,V_value,CRS,CRR,P_bin,B_bin,E_bin,W_bin,V_bin,Concern,Sent
EMP0250,7,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,Low mood: Average vibe score is below neutral; Overworked: High average working hours; Performance concerns: Low rating or improvement needed,1.0,0.0,True,False,9.43,9.43,True,,False,3.0,True,True,,,False,0.44999999999999996,,,0.943,0.2,0.2443,0.46980769230769226,Moderate,,,High,Low,Retaining talent and addressing dissatisfaction early,Yes
EMP0302,7,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,Low mood: Average vibe score is below neutral; Overworked: High average working hours; Performance concerns: Low rating or improvement needed,1.0,0.0,True,False,9.1,9.1,True,,False,1.0,False,True,322.0,1.0,False,0.2349604221635884,,,0.9099999999999999,0.2,0.19799208443271768,0.32998680738786274,Moderate,,,High,Low,Retaining talent and addressing dissatisfaction early,Yes
EMP0232,6,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,Low mood: Average vibe score is below neutral; Needs break: Low leave utilization; Performance concerns: Low rating or improvement needed,1.0,0.0,True,False,,,False,3.0,True,1.0,False,True,217.0,1.0,False,0.20725593667546174,0.632258064516129,,,0.2,0.25951570346412456,0.38446770883574005,Moderate,High,,,Low,Retaining talent and addressing dissatisfaction early; Reducing absenteeism and ensuring smooth onboarding processes,Yes
EMP0269,6,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,Low mood: Average vibe score is below neutral; Overworked: High average working hours; Needs break: Low leave utilization,1.0,0.0,True,False,9.55,9.55,True,4.0,True,,,False,354.0,2.0,False,0.09340369393139841,0.6096774193548387,,0.9550000000000001,0.2,0.3266000936249894,0.4986260971373883,Low,High,,High,Low,Retaining talent and addressing dissatisfaction early; Maintaining productivity and ensuring employees meet goals; Reducing absenteeism and ensuring smooth onboarding processes; Preventing burnout to maintain long-term productivity and well-being,Yes
EMP0296,6,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,Low mood: Average vibe score is below neutral; Needs break: Low leave utilization; Performance concerns: Low rating or improvement needed,2.5,0.0,True,False,8.78,8.78,False,4.0,True,2.0,False,True,,,False,0.3,0.6096774193548387,,0.8779999999999999,0.5,0.4502193548387097,0.6477976328614528,Moderate,High,,High,Low,Retaining talent and addressing dissatisfaction early; Reducing absenteeism and ensuring smooth onboarding processes,Yes
EMP0133,6,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,Low mood: Average vibe score is below neutral; Needs break: Low leave utilization; Performance concerns: Low rating or improvement needed,2.0,0.0,True,False,7.06,7.06,False,2.0,True,2.0,False,True,393.0,1.0,False,0.4036939313984169,0.6548387096774193,,0.706,0.4,0.4350484636990382,0.5613528563858559,Moderate,High,,Moderate,Low,Retaining talent and addressing dissatisfaction early; Reducing absenteeism and ensuring smooth onboarding processes,Yes
EMP0412,6,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,3,Low mood: Average vibe score is below neutral; Needs break: Low leave utilization; Performance concerns: Low rating or improvement needed,2.0,0.0,True,False,8.15,8.15,False,1.0,True,1.0,True,True,,,False,0.15,0.6774193548387096,,0.8150000000000001,0.4,0.4008548387096774,0.5767695521002553,Low,High,,Moderate,Low,Retaining talent and addressing dissatisfaction early; Maintaining productivity and ensuring employees meet goals; Reducing absenteeism and ensuring smooth onboarding processes,Yes
EMP0467,5,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,2,Low mood: Average vibe score is below neutral; Overworked: High average working hours,2.0,0.0,True,False,9.58,9.58,True,,False,3.0,False,False,666.0,2.0,False,0.6257255936675461,,,0.958,0.4,0.3409451187335092,0.5682418645558486,High,,,High,Low,Retaining talent and addressing dissatisfaction early,Yes
EMP0283,5,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,2,Low mood: Average vibe score is below neutral; Overworked: High average working hours,2.0,0.0,True,False,9.8,9.8,True,8.0,False,,,False,1169.0,3.0,False,0.30844327176781006,0.5193548387096774,,0.9800000000000001,0.4,0.4095273640309814,0.6252326168411929,Moderate,Moderate,,High,Low,Retaining talent and addressing dissatisfaction early,Yes
EMP0329,5,True,Low mood: Average vibe score is below neutral,emotional_wellbeing,2,Low mood: Average vibe score is below neutral; Performance concerns: Low rating or improvement needed,1.0,0.0,True,False,,,False,,False,2.0,False,True,,,False,0.3,,,,0.2,0.12,0.2857142857142857,Moderate,,,,Low,Retaining talent and addressing dissatisfaction early,Yes
